Program Link,Program Name,Website,Name,ACGME Program Code,Program Director,PD Gender,Program Coordinator,PGY1,PGY2,PGY3,Region,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,II Rate,Interviews,Total Spots,Post II Odds,Spots/Apps,Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP)
/Program/GetById/278,Louisiana State University School of Medicine Program,http://www.medschool.lsuhsc.edu/dermatology/,Louisiana State University School of Medicine Program,802121109,Deborah Hilton,,Sherilyn Munoz,6,4,6,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,570,5.3,30,5,17%,0.88%,61%,14%,0%
/Program/GetById/252,Loyola University Medical Center Program,http://www.stritch.luc.edu/medicine/residency-dermatology,Loyola University Medical Center Program,801612135,Eden Lake,,Kathy Kania,3,4,3,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,659,5.5,36,4,11%,0.61%,59%,0%,0%
/Program/GetById/199,Marshfield Clinic Program,http://www3.marshfieldclinic.org/residents/,Marshfield Clinic Program,805622131,Erik Stratman,,Aimie Eckelberg,2,2,2,East North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,403,7.4,30,2,7%,0.50%,–,–,–
/Program/GetById/173,Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp Program,http://www2.massgeneral.org/hmsdermatology/,Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp Program,802431043,Jennifer Huang,,Diane Kovacev,8,8,10,New England,Affiliated Hospital,Yes,No,5,–,# of Positions Filled:,8,8,617,7.5,46,8,17%,1.30%,29%,12%,0%
/Program/GetById/281,Mayo Clinic College of Medicine and Science (Jacksonville) Program,https://college.mayo.edu/academics/residencies-and-fellowships/dermatology-residency-florida/,Mayo Clinic College of Medicine and Science (Jacksonville) Program,801131125,Leila Tolaymat,,Cindy Fairchild,2,2,2,South Atlantic,Other,Yes,No,–,2,2,–,# of Positions Filled:,579,4.5,26,2,8%,0.35%,30%,10%,0%
/Program/GetById/294,Mayo Clinic College of Medicine and Science (Rochester) Program,https://college.mayo.edu/academics/residencies-and-fellowships/dermatology-residency-minnesota/,Mayo Clinic College of Medicine and Science (Rochester) Program,802621049,Carilyn Wieland,,Julie Fohrman,8,8,8,West North Central,Other,Yes,No,–,2,2,6,6,666,10.4,69,8,12%,1.20%,45%,10%,0%
/Program/GetById/288,Mayo Clinic College of Medicine and Science (Scottsdale) Program,http://www.mayo.edu/msgme,Mayo Clinic College of Medicine and Science (Scottsdale) Program,800321127,David Swanson,,Kristy Lux,2,2,2,Mountain,Other,Yes,No,–,2,2,–,# of Positions Filled:,590,4.2,25,2,8%,0.34%,–,–,–
/Program/GetById/299,McGaw Medical Center of Northwestern University Program,http://www.feinberg.northwestern.edu/depts/dermatology/education/,McGaw Medical Center of Northwestern University Program,801621031,Maria Colavincenzo,,Lisa Glatz,4,4,4,East North Central,University Hospital,Yes,No,5,–,# of Positions Filled:,6,6,689,10.9,75,6,8%,0.87%,57%,13%,0%
/Program/GetById/282,Medical College of Georgia Program,https://www.augusta.edu/mcg/dermatology/,Medical College of Georgia Program,801211029,Loretta Davis,,Jennifer Foskey,3,3,3,South Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,3,3,527,7.2,38,3,8%,0.57%,40%,7%,0%
/Program/GetById/300,Medical College of Wisconsin Affiliated Hospitals Program,http://www.mcw.edu/derm,Medical College of Wisconsin Affiliated Hospitals Program,805621095,Karolyn Wanat,,Jennifer Pluer,5,5,5,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,628,8.6,54,5,9%,0.80%,35%,12%,4%
/Program/GetById/305,Medical University of South Carolina Program,http://clinicaldepartments.musc.edu/dermatology,Medical University of South Carolina Program,804521099,Richard Marchell,,Mark Lynch,4,5,5,South Atlantic,University Hospital,Yes,No,–,1,–,4,4,679,6.2,42,5,12%,0.74%,83%,17%,0%
/Program/GetById/214,MedStar Health/Washington Hospital Center Program,https://www.medstarhealth.org/education/affiliated-hospitals-2/medstar-washington-hospital-center/dermatology-residency/,MedStar Health/Washington Hospital Center Program,801021106,Min Deng,,Naomi Simwenyi,2,3,1,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,620,6.5,40,3,8%,0.48%,50%,8%,0%
/Program/GetById/304,Montefiore Medical Center/Albert Einstein College of Medicine Program,http://www.aecom.yu.edu,Montefiore Medical Center/Albert Einstein College of Medicine Program,803531058,Ranon Mann,,Karen Grant,6,7,6,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,652,9.2,60,7,12%,1.07%,34%,13%,0%
/Program/GetById/279,National Capital Consortium Program,–,National Capital Consortium Program,801021123,Luke Bloomquist,,Chaconia Agyenkwah,4,5,4,South Atlantic,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/262,Naval Medical Center (San Diego) Program,http://www-nmcsd.med.navy.mil/command/index.cfm,Naval Medical Center (San Diego) Program,800531006,Vikas Shrivastava,,Neil Gibbs,3,2,2,Pacific,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/245,New York Medical College (Metropolitan) Program,http://www.nymc.edu/medical/medical.asp,New York Medical College (Metropolitan) Program,803521063,Marian Russo,,Magali Cruz,4,3,3,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,580,9.7,56,2,4%,0.34%,10%,20%,0%
/Program/GetById/223,New York Presbyterian Hospital (Columbia Campus) Program,http://www.dermatology.columbia.edu,New York Presbyterian Hospital (Columbia Campus) Program,803521104,Stephanie Gallitano,,Christine Lauren,3,5,4,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,5,5,635,8,51,5,10%,0.79%,24%,10%,0%
/Program/GetById/231,New York Presbyterian Hospital (Cornell Campus) Program,http://www.cornelldermatology.org/,New York Presbyterian Hospital (Cornell Campus) Program,803521062,Horatio Wildman,,Mynaria Everett,5,4,4,Middle Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,4,4,638,7.8,50,4,8%,0.63%,57%,19%,0%
/Program/GetById/253,NYU Grossman School of Medicine Program,http://www.med.nyu.edu/derm/index.html,NYU Grossman School of Medicine Program,803521064,Alexandra Flamm,,Norma Elliott,8,8,9,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,8,8,636,8.6,55,8,15%,1.26%,45%,21%,0%
/Program/GetById/248,Ohio State University Hospital Program,https://medicine.osu.edu/departments/dermatology/education/residency,Ohio State University Hospital Program,803811072,Joy Mosser-Goldfarb,,crisanne Hitler,0,4,3,East North Central,University Hospital,Yes,No,–,2,2,2,2,678,4.9,33,4,12%,0.59%,41%,6%,0%
/Program/GetById/237,OhioHealth/Riverside Methodist Hospital Program,http://www.ohiohealth.com/education/medical-education-program/residencies-and-fellowships/dermatology-obleness-hospital/,OhioHealth/Riverside Methodist Hospital Program,803800144,Dawn Sammons,,Rachel Roberts,2,2,2,East North Central,Affiliated Hospital,Yes,No,–,2,2,–,# of Positions Filled:,430,4.9,21,2,10%,0.47%,25%,17%,25%
/Program/GetById/295,Oregon Health & Science University Program,http://www.ohsu.edu/dermatology,Oregon Health & Science University Program,804021075,Nicole Fett,,Sarah Wilkinson,5,5,5,Pacific,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,675,7.1,48,5,10%,0.74%,44%,16%,8%
/Program/GetById/170,Penn State Milton S Hershey Medical Center Program,https://residency.med.psu.edu/programs/dermatology-residency/,Penn State Milton S Hershey Medical Center Program,804121103,Brian Green,,Kelly Friedman,7,1,4,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,4,4,656,5.3,35,4,11%,0.61%,30%,15%,10%
/Program/GetById/206,Philadelphia College of Osteopathic Medicine Program,http://www.dermatologynfhmc.wix.com/gaderm,Philadelphia College of Osteopathic Medicine Program,801200030,Marcus Goodman,,sandy Ingram,2,2,2,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,382,13.1,50,2,4%,0.52%,–,–,–
/Program/GetById/186,Ponce Health Sciences University Program,http://www.phsu.edu,Ponce Health Sciences University Program,804200001,Nestor Sanchez Colon,,Yeroika Echevarría,0,0,0,South Atlantic,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/235,Prime West Consortium/Newport Beach Program,https://westernderm.com,Prime West Consortium/Newport Beach Program,800500145,Navid Nami,,Kristina Garcia,1,1,1,Pacific,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,1,1,133,9,12,1,8%,0.75%,–,–,–
/Program/GetById/239,Rush University Medical Center Program,https://www.rushu.rush.edu/rush-medical-college/departments/department-dermatology,Rush University Medical Center Program,801611032,David Reid,,Lynn Thompson,3,2,2,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,663,5.3,35,2,6%,0.30%,40%,10%,0%
/Program/GetById/171,Rutgers Health/Robert Wood Johnson Medical School Program,http://rwjms.rutgers.edu/departments_institutes/dermatology/residency/index.html,Rutgers Health/Robert Wood Johnson Medical School Program,803331128,Cindy Wassef,,Aida Cardona,2,2,2,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,614,0,0,2,#DIV/0!,0.33%,10%,0%,0%
/Program/GetById/184,Samaritan Health Services - Corvallis Program,http://www.silverfallsderm.net,Samaritan Health Services - Corvallis Program,804000076,Jacques Casparian,,Zoia Martushev,2,3,2,Pacific,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,409,4.9,20,2,10%,0.49%,–,–,–
/Program/GetById/285,San Antonio Uniformed Services Health Education Consortium Program,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Dermatology,San Antonio Uniformed Services Health Education Consortium Program,804821121,Christopher Edens,,Teresa Fite,6,4,6,West South Central,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/301,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,http://www.jefferson.edu/university/skmc/departments/dermatology.html,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,804111079,Matthew Keller,,Doreen Barel,4,6,4,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,665,4.8,32,4,13%,0.60%,32%,18%,0%
/Program/GetById/189,Southern Illinois University Program,https://www.siumed.edu/im/dermatology,Southern Illinois University Program,801621118,Adam Berry,,Pamela Larson,3,3,3,East North Central,University Hospital,Yes,No,–,3,3,–,# of Positions Filled:,506,7.9,40,3,8%,0.59%,40%,7%,0%
/Program/GetById/269,St Barnabas Hospital Program,http://www.sbhny.org/healthcare-professionals/residency-programs/dermatology-residency-program/,St Barnabas Hospital Program,803500129,Cindy Hoffman,,Tiffany Morris,1,1,1,Middle Atlantic,Community Hospital,Yes,Yes,–,–,# of Positions Filled:,1,1,308,0,0,1,#DIV/0!,0.32%,–,–,–
/Program/GetById/255,St John's Episcopal Hospital-South Shore Program,–,St John's Episcopal Hospital-South Shore Program,803500128,Suzanne Sirota Rozenberg,,Amber Johnson,3,3,3,Middle Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,48,52.1,25,,0%,0.00%,–,–,–
/Program/GetById/201,St Louis University School of Medicine Program,https://www.slu.edu/medicine/dermatology/,St Louis University School of Medicine Program,802821116,Nicole Burkemper,,Joey Weissmann,4,4,4,West North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,6,5,616,6.5,40,6,15%,0.97%,38%,5%,5%
/Program/GetById/251,St Luke’s Hospital – Anderson Campus Program,http://gme.slhn.org,St Luke’s Hospital – Anderson Campus Program,804100107,Andrew Krakowski,,Deanna Kuhn,2,2,2,Middle Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,478,10.9,52,2,4%,0.42%,–,–,–
/Program/GetById/200,Still OPTI Program,http://www.nermc.com/dermatology-residency,Still OPTI Program,802800117,David Cleaver,,Pamela Korff,2,2,2,West North Central,Affiliated Hospital,Yes,Yes,–,–,# of Positions Filled:,2,2,189,13.2,25,2,8%,1.06%,–,–,–
/Program/GetById/286,Stony Brook Medicine/University Hospital Program,https://www.stonybrookmedicine.edu/patientcare/Dermatology,Stony Brook Medicine/University Hospital Program,803521113,Jordan Slutsky,,Blair Bohnhorst,3,3,3,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,605,10.9,66,3,5%,0.50%,67%,20%,0%
/Program/GetById/228,SUNY Downstate Health Sciences University Program,http://www.downstate.edu,SUNY Downstate Health Sciences University Program,803521065,Sharon Glick,,Nancy Mingoia,8,8,8,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,648,6.9,45,8,18%,1.23%,40%,10%,0%
/Program/GetById/207,Temple University Hospital Program,http://temple.edu/medicine/departments_centers/clinical_departments/dermatology.htm,Temple University Hospital Program,804100104,Sylvia Hsu,,Emily Caldarelli,3,3,3,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,3,3,667,4.5,30,3,10%,0.45%,57%,7%,0%
/Program/GetById/204,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,https://www.bswhealth.med/education/Pages/gme/temple/dermatology-residency.aspx,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,804821133,Palak Parekh,,Lacey Pitt,4,3,4,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,509,7.9,40,4,10%,0.79%,50%,25%,0%
/Program/GetById/280,Texas Tech University Health Sciences Center at Lubbock Program,http://www.ttuhsc.edu,Texas Tech University Health Sciences Center at Lubbock Program,804821105,Cloyce Stetson,,Irma Garza,3,3,4,West South Central,University Hospital,Yes,No,1,–,# of Positions Filled:,3,3,488,6.1,30,3,10%,0.61%,67%,20%,13%
