Region,Name,ACGME Program Code,Program Director,Program Coordinator,PGY1,PGY2,PGY3,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,Interviewed:,Alpha Omega Alpha (AOA),Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP),Sigma Sigma Phi (SSP)
West South Central,Integris Health Program,4203912158,Clinton Williamson,Natasha Fanson,4,5,4,Community Hospital,Yes,No,–,–,# of Positions Filled:,4,4,458,13.1,–,–,–,–,–,–
Middle Atlantic,Jacobi Medical Center/Albert Einstein College of Medicine Program,4203521251,Robert Friedman,Cassandra Johnson,5,5,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,676,14.8,0%,11%,5%,5%,0%,5%
South Atlantic,Johns Hopkins University Program,4202311077,Erin Gomez,Dan Grupp,8,8,8,University Hospital,Yes,No,1,–,# of Positions Filled:,9,9,889,15.7,34%,11%,2%,5%,0%,5%
Pacific,Kaiser Permanente Southern California (Los Angeles) Program,4200512020,Lauren Peng,Brenda Merchan,2,2,2,Community Hospital,Yes,No,–,2,2,–,# of Positions Filled:,684,15.8,–,–,–,–,–,–
East North Central,Kettering Health Network Program,4203800244,Roland Gazaille,Tiffany Beverly,2,2,2,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,506,8.7,–,–,–,–,–,–
Pacific,KPC Health Program,4200500915,Frederick White,Ann Allen,3,3,3,Community Hospital,Yes,No,–,3,3,–,# of Positions Filled:,422,7.6,–,–,–,–,–,–
New England,Lahey Clinic Program,4202422082,Jeremy Wortman,Nancy Holden,6,4,6,Affiliated Hospital,Yes,No,1,–,# of Positions Filled:,4,4,774,11.6,0%,11%,5%,5%,9%,5%
South Atlantic,Larkin Community Hospital Program,4201100261,Osmany DeAngelo,Yuris Marquez,4,4,4,Community Hospital,Yes,No,–,–,# of Positions Filled:,5,5,696,0.0,0%,11%,0%,5%,5%,5%
Pacific,Loma Linda University Health Education Consortium Program,4200521015,Erica Kinne,Claudia de Dios Uribe,9,8,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,619,–,5%,11%,7%,5%,0%,5%
Pacific,Los Angeles County-Harbor-UCLA Medical Center Program,4200511035,Patrick Choi,Brigitte Rodriguez,6,6,6,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,631,14.9,10%,11%,7%,5%,0%,5%
West South Central,Louisiana State University (Shreveport) Program,4202111075,Alberto Simoncini,Elizabeth Winkler,4,4,4,Affiliated Hospital,Yes,No,–,5,5,–,# of Positions Filled:,623,11.2,–,–,–,–,–,–
West South Central,Louisiana State University School of Medicine Program,4202131259,Mignonne Morrell,Dana Brian,5,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,728,16.6,4%,11%,4%,5%,11%,5%
East North Central,Loyola University Medical Center Program,4201611064,Albert Song,Linda James,7,7,7,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,971,10.3,6%,11%,3%,5%,8%,5%
Pacific,Madigan Army Medical Center Program,4205421239,Erik Dedekam,Teresa Tucker,4,4,6,Military,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
Middle Atlantic,Maimonides Medical Center Program,4203521221,Daniel Masri,Rosa Duluc,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,698,22.6,15%,11%,5%,5%,0%,5%
New England,Maine Medical Center Program,4202211076,Jennifer Talmadge,Rae Newland,3,3,3,Affiliated Hospital,Yes,No,–,3,3,–,# of Positions Filled:,657,6.8,0%,11%,0%,5%,20%,5%
New England,Massachusetts General Hospital/Harvard Medical School Program,4202431083,Shaunagh McDermott,Jacqueline Williams-Johnson,8,7,8,University Hospital,Yes,No,3,–,# of Positions Filled:,8,8,936,15.5,40%,11%,8%,5%,0%,5%
South Atlantic,Mayo Clinic College of Medicine and Science (Jacksonville) Program,4201121250,Shweta Bhatt,Suzanne Taylor,5,5,4,Other,Yes,No,–,5,5,–,# of Positions Filled:,"1,064",11.3,4%,11%,0%,5%,17%,5%
Mountain,Mayo Clinic College of Medicine and Science (Phoenix) Program,4200300935,Michael Fox,Silvana D'Alessandro,4,4,4,Other,Yes,No,–,6,6,2,2,881,7.9,46%,11%,8%,5%,0%,5%
West North Central,Mayo Clinic College of Medicine and Science (Rochester) Program,4202621105,Katie Hunt,Holly Kreidermacher,13,12,12,Other,Yes,No,1,–,# of Positions Filled:,15,15,807,24.8,34%,11%,13%,5%,0%,5%
East North Central,McGaw Medical Center of Northwestern University Program,4201621059,Ankur Garg,Holly Harper,10,9,10,University Hospital,Yes,No,2,–,# of Positions Filled:,10,10,"1,170",12.0,44%,11%,8%,5%,2%,5%
East North Central,McLaren Health Care/Oakland/MSU Program,4202500106,Kevin Carter,Jason Quintanilla,3,3,3,Affiliated Hospital,Yes,No,–,3,3,–,# of Positions Filled:,527,9.5,–,–,–,–,–,–
South Atlantic,Medical College of Georgia Program,4201221053,William Parker,Bruce Gilbert,5,6,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,936,14.1,4%,11%,0%,5%,23%,5%
East North Central,Medical College of Wisconsin Affiliated Hospitals Program,4205621211,Mark Hohenwalter,Melissa DuBois,7,6,6,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,855,16.4,18%,11%,9%,5%,3%,5%
South Atlantic,Medical University of South Carolina Program,4204521184,Seth Stalcup,Tina Rapstine,11,11,11,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,974,22.6,27%,11%,9%,5%,11%,5%
South Atlantic,MedStar Health/Georgetown University Hospital Program,4201011045,Peter Bergquist,Amy Burke,4,4,4,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,"1,076",13.9,5%,11%,0%,5%,0%,5%
Middle Atlantic,Mercy Catholic Medical Center Program,4204121170,Justin Mackey,Kimberly Young-Brown,2,3,3,Affiliated Hospital,Yes,No,–,3,3,–,# of Positions Filled:,658,9.1,0%,11%,0%,5%,0%,5%
West South Central,Methodist Hospital (Houston) Program,4204800935,Elliott Friedman,Sheori Sinegal,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,687,11.6,21%,11%,0%,5%,0%,5%
Middle Atlantic,Montefiore Medical Center/Albert Einstein College of Medicine Program,4203521126,Judah Burns,Emily Ofrias,7,7,7,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,794,15.1,23%,11%,6%,5%,0%,5%
New England,Mount Auburn Hospital Program,4202411087,Donald Romanelli,Annika Mitchell,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,701,21.4,13%,11%,7%,5%,0%,5%
South Atlantic,Mount Sinai Medical Center of Florida Program,4201121050,William Burke,Kiesha Candry-Scatliffe,5,4,5,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,965,10.4,0%,11%,0%,5%,8%,5%
Middle Atlantic,Nassau University Medical Center Program,4203511123,Salman Shah,Melissa Goldsmith,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,4,4,656,20.6,5%,11%,0%,5%,0%,5%
South Atlantic,National Capital Consortium Program,4201021247,Paul Peterson,Anita McKenzie,6,7,7,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
South Atlantic,Naval Medical Center (Portsmouth) Program,4205113252,Matthew Lutynski,Janett Dekle,5,3,4,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
Pacific,Naval Medical Center (San Diego) Program,4200521914,Richard Montgomery,Roberta Vigil,4,4,3,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
Middle Atlantic,New York Presbyterian Hospital (Columbia Campus) Program,4203511138,Jasnit Makkar,Sheik Amin,6,6,6,University Hospital,Yes,No,1,–,# of Positions Filled:,6,6,882,11.3,27%,11%,7%,5%,0%,5%
Middle Atlantic,New York Presbyterian Hospital (Cornell Campus) Program,4203521129,Andrew Schweitzer,Michelle Byrne,6,6,6,University Hospital,Yes,No,1,–,# of Positions Filled:,7,7,847,14.8,23%,11%,10%,5%,0%,5%
New England,Norwalk Hospital Program,4200821216,Francis Flaherty,Anila Dalipi,3,2,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,642,15.1,8%,11%,0%,5%,15%,5%
Middle Atlantic,NYU Grossman School of Medicine Program,4203521137,Cecilia Mercado,Zudith Lopez,10,7,8,University Hospital,Yes,No,1,–,# of Positions Filled:,10,10,851,10.6,15%,11%,7%,5%,0%,5%
Middle Atlantic,NYU Long Island School of Medicine Program,4203521240,Jason Hoffmann,Denise Foti,0,5,5,University Hospital,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
West South Central,Ochsner Clinic Foundation Program,4202112074,James Milburn,Katherine Dixon,5,6,6,Community Hospital,Yes,No,–,5,5,1,1,721,11.1,19%,11%,4%,5%,0%,5%
East North Central,Ohio State University Hospital Program,4203821156,Mark King,Samantha Schnitzer,8,7,5,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,936,12.6,5%,11%,7%,5%,2%,5%
West South Central,Oklahoma State University Center for Health Sciences Program,4203900160,Donald von Borstel,Christa Arnold,4,3,3,Affiliated Hospital,Yes,Yes,–,–,# of Positions Filled:,3,3,372,9.4,–,–,–,–,–,–
Pacific,Oregon Health & Science University Program,4204031160,Brooke Beckett,Kim Eastman,5,7,7,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,883,–,30%,11%,11%,5%,4%,5%
Middle Atlantic,Penn State Milton S Hershey Medical Center Program,4204121164,Donald Flemming,Christina Moorhead,6,7,8,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,905,10.5,0%,11%,3%,5%,17%,5%
Pacific,Providence Sacred Heart Medical Center (Spokane) Program,4205421207,Jeffrey Nackos,Megan Crawshaw,0,1,2,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
New England,Quinnipiac University Frank H. Netter MD School of Medicine/St VIncent's Medical Center Program,4200811040,Joshua Sapire,Cristina Vaz,3,3,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,661,7.6,0%,11%,0%,5%,0%,5%
Middle Atlantic,Richmond University Medical Center Program,4203521229,Sujoy Menon,Renee Cairney,2,2,2,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,495,12.1,–,–,–,–,–,–
Pacific,Riverside University Health System Program,4200500917,Monika Kief-Garcia,Jenni Shieck,2,2,0,Affiliated Hospital,Yes,No,–,2,2,–,# of Positions Filled:,470,13.4,–,–,–,–,–,–
Middle Atlantic,Rochester General Hospital Program,4203512145,Joel Thompson,Raquel Redman,4,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,724,15.2,0%,11%,4%,5%,0%,5%
East North Central,Rush University Medical Center Program,4201611060,Michael Ralls,Lakesha Hudson,5,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,"1,092",7.3,4%,11%,0%,5%,0%,5%
Middle Atlantic,Rutgers Health/Cooperman Barnabas Medical Center Program,4203321215,Lyle Gesner,Jason Satterthwaite,4,5,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,643,24.9,–,–,–,–,–,–
Middle Atlantic,Rutgers Health/Monmouth Medical Center Program,4203331115,Stanley Lu,Deonna Williams-Square,3,3,2,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,467,16.1,–,–,–,–,–,–
Middle Atlantic,Rutgers Health/New Jersey Medical School Program,4203321226,Pierre Maldjian,Anny Robles,5,4,5,University Hospital,Yes,No,–,–,# of Positions Filled:,12,12,807,24.8,7%,11%,3%,5%,10%,5%
Middle Atlantic,Rutgers Health/Newark Beth Israel Medical Center Program,4203331118,Luke Partyka,Maria Figueroa,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,617,13.0,–,–,–,–,–,–
Middle Atlantic,Rutgers Health/Robert Wood Johnson Medical School Program,4203321228,Jeffrey Kempf,Jasmine Allen,4,4,5,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,715,14.0,5%,11%,9%,5%,9%,5%
West South Central,San Antonio Uniformed Services Health Education Consortium Program,4204821248,Francis Cloran,Megan Tierney,9,8,9,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0,–,–,–,–,–,–,–
Pacific,Santa Barbara Cottage Hospital Program,4200522033,Bernard Chow,Selena Kelley,4,4,3,Community Hospital,Yes,No,–,–,# of Positions Filled:,4,4,560,12.9,5%,11%,0%,5%,0%,5%
Pacific,Santa Clara Valley Medical Center Program,4200531032,Vanessa Starr,Melinda Aguilar,5,4,4,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,558,22.8,13%,11%,4%,5%,0%,5%
Middle Atlantic,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,4204111174,Suzanne Long,Sofiane Moulla,7,9,10,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,"1,047",11.4,10%,11%,8%,5%,0%,5%
East North Central,Southern Illinois University Program,4201621065,Vincent Zata,Shannon Boxman,3,3,3,Affiliated Hospital,Yes,No,–,4,4,–,# of Positions Filled:,608,16.4,7%,11%,13%,5%,7%,5%
East North Central,Spectrum Health/Michigan State University Program,4202521099,Andrew Woodrow,Andrea Morse,3,3,3,Affiliated Hospital,Yes,No,–,3,3,–,# of Positions Filled:,739,10.3,13%,11%,7%,5%,20%,5%
West North Central,St Louis University School of Medicine Program,4202821110,Alejandro Mendez Castillo,Genevieve Desloge,6,6,7,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,6,6,775,12.9,0%,11%,0%,5%,7%,5%
Middle Atlantic,St Luke’s Hospital – Anderson Campus Program,4204100001,Pallav Shah,Camryn LaSelva,0,0,0,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,12,12,0,–,0%,11%,8%,5%,8%,5%
New England,St Vincent Hospital Program,4202412089,David Bader,Robin Simons,4,4,4,Community Hospital,Yes,No,–,–,# of Positions Filled:,4,4,643,7.8,0%,11%,0%,5%,0%,5%
Pacific,Stanford Health Care-Sponsored Stanford University Program,4200521034,Margaret Lin,Carine Jaeger,9,9,9,University Hospital,Yes,No,6,–,# of Positions Filled:,9,9,834,13.4,20%,11%,11%,5%,0%,5%
Middle Atlantic,Stony Brook Medicine/University Hospital Program,4203521222,Kevin Baker,Linda Erickson,6,6,6,University Hospital,Yes,No,1,–,# of Positions Filled:,6,6,767,24.1,6%,11%,6%,5%,0%,5%
Middle Atlantic,SUNY Downstate Health Sciences University Program,4203521143,Rhonda Osborne,Gladys Ortiz,7,8,8,University Hospital,Yes,No,–,–,# of Positions Filled:,8,8,815,13.4,0%,11%,3%,5%,8%,5%
Middle Atlantic,SUNY Upstate Medical University Program,4203521147,Andrij Wojtowycz,Carolyn Snyder,7,7,7,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,703,17.8,0%,11%,0%,5%,3%,5%
Middle Atlantic,Temple University Hospital Program,4204111173,Beverly Hershey,Yolanda Reyes,5,4,3,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,"1,009",5.6,4%,11%,0%,5%,9%,5%
