State,School,Matriculants,Affiliated Program,Affiliated Program 2,Unnamed: 5
IA,Iowa-Carver,152.0,University of Iowa Hospitals and Clinics Program,,
IL,Carle Illinois,64.0,,,
IL,Chicago Med Franklin,201.0,,,
IL,Chicago-Pritzker,88.0,University of Chicago Program,,
IL,Illinois,291.0,University of Illinois College of Medicine at Chicago Program,,
IL,Loyola-Stritch,170.0,Loyola University Medical Center Program,,
IL,Northwestern-Feinberg,145.0,McGaw Medical Center of Northwestern University Program,,
IL,Rush,141.0,Rush University Medical Center Program,,
IL,Southern Illinois,80.0,Southern Illinois University Program,,
IN,Indiana,364.0,Indiana University School of Medicine Program,,
KS,Kansas,211.0,University of Kansas School of Medicine Program,,
KY,Kentucky,201.0,,,
KY,Louisville,163.0,University of Louisville School of Medicine Program,,
LA,LSU New Orleans,195.0,Louisiana State University Program,,
LA,LSU Shreveport,150.0,,,
LA,Tulane,190.0,Tulane University Program,,
MA,BU-Chobanian Avedisian,146.0,Boston University Medical Center Program,,
MA,Harvard,163.0,Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women’s Hosp Program,,
MA,Massachusetts-Chan,200.0,UMass Chan Medical School Program,,
MA,Tufts,202.0,Tufts Medical Center Program,,
MD,Johns Hopkins,120.0,Johns Hopkins University Program,,
MD,Maryland,147.0,University of Maryland Program,,
MD,Uniformed Services-Hebert,176.0,,,
MI,Central Michigan,104.0,,,
MI,Michigan,164.0,University of Michigan Health System Program,,
MI,Michigan State,189.0,,,
MI,Oakland Beaumont,125.0,,,
MI,Wayne State,305.0,Wayne State University School of Medicine Program,,
MI,Western Michigan-Stryker,84.0,,,
MN,Mayo-Alix,108.0,Mayo Clinic College of Medicine and Science (Rochester) Program,,
MN,Minnesota,241.0,University of Minnesota Program,,
MO,Missouri Columbia,128.0,University of Missouri-Columbia Program,,
MO,Missouri Kansas City,136.0,,,
MO,Saint Louis,178.0,St Louis University School of Medicine Program,,
MO,Washington U St Louis,124.0,Washington University/B-JH/SLCH Consortium Program,,
MS,Mississippi,165.0,University of Mississippi School of Medicine Program,,
NC,Duke,118.0,Duke University Hospital Program,,
NC,East Carolina-Brody,90.0,,,
NC,North Carolina,204.0,University of North Carolina Hospitals Program,,
NC,Wake Forest,145.0,Wake Forest University School of Medicine Program,,
ND,North Dakota,74.0,,,
NE,Creighton,253.0,,,
NE,Nebraska,132.0,University of Nebraska Medical Center College of Medicine Program,,
NH,Dartmouth-Geisel,92.0,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,,
NJ,Cooper Rowan,112.0,Cooper Medical School of Rowan University/Cooper University Hospital Program,,
NJ,Hackensack Meridian,162.0,Hackensack University Medical Center (Palisades) Program,,
NJ,Rutgers New Jersey,174.0,,,
NJ,Rutgers-RW Johnson,165.0,Rutgers Health/Robert Wood Johnson Medical School Program,,
NM,New Mexico,93.0,University of New Mexico School of Medicine Program,,
NV,Nevada Reno,70.0,,,
NV,UNLV-Kerkorian,66.0,,,
NY,Albany,143.0,,,
NY,Buffalo-Jacobs,184.0,,,
NY,CUNY,75.0,,,
NY,Columbia-Vagelos,138.0,New York Presbyterian Hospital (Columbia Campus) Program,,
NY,Cornell-Weill,106.0,New York Presbyterian Hospital (Cornell Campus) Program,,
NY,Einstein,183.0,Montefiore Medical Center/Albert Einstein College of Medicine Program,,
NY,Mount Sinai-Icahn,120.0,Icahn School of Medicine at Mount Sinai Program,,
NY,NYU Long Island-Grossman,24.0,,,
NY,NYU-Grossman,100.0,NYU Grossman School of Medicine Program,,
NY,New York Medical,220.0,New York Medical College (Metropolitan) Program,,
NY,Renaissance Stony Brook,136.0,Stony Brook Medicine/University Hospital Program,,
NY,Rochester,104.0,University of Rochester Program,,
NY,SUNY Downstate,207.0,SUNY Downstate Health Sciences University Program,,
NY,SUNY Upstate-Norton,175.0,,,
NY,Zucker Hofstra Northwell,99.0,Zucker School of Medicine at Hofstra/Northwell Program,,
OH,Case Western Reserve,216.0,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,The MetroHealth System/Case Western Reserve University Program,Cleveland Clinic Foundation Program
OH,Cincinnati,177.0,University of Cincinnati Medical Center/College of Medicine Program,,
OH,Northeast Ohio,174.0,,,
OH,Ohio State,198.0,Ohio State University Hospital Program,,
OH,Toledo,175.0,,,
OH,Wright State-Boonshoft,126.0,Wright State University Program,,
OK,Oklahoma,176.0,University of Oklahoma Health Sciences Center Program,,
OR,Oregon,150.0,Oregon Health and Science University (OHSU Health) Program,,
PA,Drexel,304.0,,,
PA,Geisinger Commonwealth,115.0,Geisinger Health System Program,,
PA,Jefferson-Kimmel,272.0,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,,
PA,Penn State,145.0,Penn State Milton S Hershey Medical Center Program,,
PA,Pennsylvania-Perelman,157.0,University of Pennsylvania Health System Program,,
PA,Pittsburgh,148.0,UPMC Medical Education Program,,
PA,Temple-Katz,222.0,Temple University Hospital Program,,
PR,Caribe,77.0,,,
PR,Ponce,180.0,,,
PR,Puerto Rico,102.0,University of Puerto Rico Program,,
PR,San Juan Bautista,64.0,,,
RI,Brown-Alpert,144.0,Brown University Program,,
SC,MU South Carolina,172.0,Medical University of South Carolina Program,,
SC,South Carolina Columbia,100.0,,,
SC,South Carolina Greenville,110.0,,,
SD,South Dakota-Sanford,71.0,,,
TN,East Tennessee-Quillen,77.0,,,
TN,Meharry,116.0,,,
TN,Tennessee,173.0,University of Tennessee Program,,
TN,Vanderbilt,95.0,Vanderbilt University Medical Center Program,,
TX,Baylor,226.0,Baylor College of Medicine Program,,
TX,Houston-Fertitta,60.0,,,
TX,TCU-Burnett,60.0,,,
TX,Texas A&M,199.0,,,
TX,Texas Tech,181.0,Texas Tech University Health Sciences Center at Lubbock Program,,
TX,Texas Tech-Foster,124.0,,,
TX,UT Austin-Dell,50.0,,,
TX,UT Houston-McGovern,240.0,University of Texas Health Science Center at Houston Program,,
TX,UT Medical Branch-Sealy,230.0,University of Texas Medical Branch Hospitals Program,,
TX,UT Rio Grande Valley,53.0,,,
TX,UT San Antonio-Long,232.0,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,,
TX,UT Southwestern,232.0,University of Texas Southwestern Medical Center Program,,
TX,UT Tyler,40.0,,,
UT,Utah-Eccles,125.0,University of Utah Health Program,,
VA,Eastern Virginia,151.0,Eastern Virginia Medical School Program at Old Dominion University,,
VA,Virginia,158.0,University of Virginia Medical Center Program,,
VA,Virginia Commonwealth,184.0,Virginia Commonwealth University Health System Program,,
VA,Virginia Tech Carilion,50.0,Carilion Clinic-Virginia Tech Carilion School of Medicine Program,,
VT,Vermont-Larner,122.0,University of Vermont Medical Center Program,,
WA,U Washington,273.0,University of Washington Program,,
WA,Washington State-Floyd,80.0,,,
WI,MC Wisconsin,264.0,Medical College of Wisconsin Affiliated Hospitals Program,,
WI,Wisconsin,171.0,University of Wisconsin Hospitals and Clinics Program,,
WV,Marshall-Edwards,72.0,,,
,West Virginia,112.0,West Virginia University Program,,
,,,,,
,,,,,
,Alabama College of Osteopathic Medicine (ACOM),,,,
,Arkansas College of Osteopathic Medicine (ARCOM),,,,
MO,A.T. Still University Kirksville College of Osteopathic Medicine (ATSU-KCOM),,Still OPTI Program  Osteopathic Recognized!,,
,"A.T. Still University, School of Osteopathic Medicine in Arizona (ATSU-SOMA)",,,,
,Burrell College of Osteopathic Medicine (BCOM),,,,
,"Burrell College of Osteopathic Medicine, Florida (BCOM-FL)",,,,
,Baptist Health Sciences University College of Osteopathic Medicine (BUCOM),,,,
,California Health Sciences University College of Osteopathic Medicine (CHSU-COM),,,,
NC,Campbell University Jerry M. Wallace School of Osteopathic Medicine (CUSOM),,Campbell University Program  Osteopathic Recognized!,,
,Des Moines University College of Osteopathic Medicine (DMU-COM),,,,
,Duquesne University College of Osteopathic Medicine (DUQCOM),,,,
,Edward Via College of Osteopathic Medicine (VCOM - Auburn Campus),,,,
,Edward Via College of Osteopathic Medicine-Carolinas Campus (VCOM - Carolinas Campus),,,,
,Edward Via College of Osteopathic Medicine-Louisiana (VCOM-Louisiana),,,,
,Edward Via College of Osteopathic Medicine (VCOM-Virginia Campus),,,,
,Idaho College of Osteopathic Medicine (ICOM),,,,
,Kansas Health Sciences Center Kansas College of Osteopathic Medicine (KansasCOM),,,,
KS,Kansas City University – Kansas City (KCU-COM-KC),,Kansas City University GME Consortium (KCU-GME Consortium)/ADCS-Orlando Program,,
,Kansas City University – Joplin (KCU-COM-Joplin),,,,
,Lake Erie College of Osteopathic Medicine-Erie (LECOM),,,,
,Lake Erie College of Osteopathic Medicine-Bradenton (LECOM-Bradenton),,,,
,Lake Erie College of Osteopathic Medicine - Elmira (LECOM-Elmira),,,,
,Lake Erie College of Osteopathic Medicine - Seton Hill (LECOM-Seton Hill),,,,
,Liberty University College of Osteopathic Medicine (LUCOM),,,,
,Lincoln Memorial University DeBusk College of Osteopathic Medicine (LMU-DCOM),,,,
,Lincoln Memorial University DeBusk College of Osteopathic Medicine - Knoxville (LMU-DCOM Knoxville),,,,
,Marian University Tom and Julie Wood College of Osteopathic Medicine (MU-WCOM),,,,
,Michigan State University College of Osteopathic Medicine (MSUCOM),,,,
,Michigan State University College of Osteopathic Medicine (MSUCOM-DMC),,,,
,Michigan State University College of Osteopathic Medicine (MSUCOM-MUC),,,,
,Midwestern University Arizona College of Osteopathic Medicine (MWU/AZCOM),,,,
,Midwestern University Chicago College of Osteopathic Medicine (MWU/CCOM),,,,
,New York Institute of Technology College of Osteopathic Medicine (NYITCOM),,,,
,New York Institute of Technology College of Osteopathic Medicine at Arkansas State (NYITCOM),,,,
,Noorda College of Osteopathic Medicine,,,,
,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine (NSU-KPCOM),,,,
,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine (NSU-KPCOM-Clearwater),,,,
,Ohio University Heritage College of Osteopathic Medicine (OU-HCOM),,,,
,Ohio University Heritage College of Osteopathic Medicine in Cleveland (OU-HCOM-Cleveland),,,,
,Ohio University Heritage College of Osteopathic Medicine in Dublin (OU-HCOM-Dublin),,,,
,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine (OSU-COM),,,,
,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine - Tahlequah (OSU-COM Tahlequah),,,,
,Orlando College of Osteopathic Medicine (OCOM),,,,
,Pacific Northwest University of Health Sciences College of Osteopathic Medicine (PNWU-COM),,,,
,Philadelphia College of Osteopathic Medicine (PCOM),,,,
,Philadelphia College of Osteopathic Medicine Georgia (PCOM Georgia),,,,
,Philadelphia College of Osteopathic Medicine South Georgia (PCOM South Georgia),,,,
,Rocky Vista University College of Osteopathic Medicine (RVUCOM),,,,
,Rocky Vista University - Montana College of Osteopathic Medicine (RVU-MCOM),,,,
,Rocky Vista University College of Osteopathic Medicine (RVUCOM-SU Campus),,,,
,Rowan-Virtua School of Osteopathic Medicine (Rowan-VirtuaSOM),,,,
,Rowan-Virtua School of Osteopathic Medicine (Rowan-VirtuaSOM-Sewell),,,,
,Sam Houston State University College of Osteopathic Medicine (SHSU-COM),,,,
,Touro College of Osteopathic Medicine - Great Falls (TouroCOM-Great Falls),,,,
,Touro College of Osteopathic Medicine (TouroCOM-Harlem),,,,
,Touro College of Osteopathic Medicine (TouroCOM-Middletown),,,,
,Touro University College of Osteopathic Medicine-California (TUCOM),,,,
,Touro University Nevada College of Osteopathic Medicine (TUNCOM),,,,
,University of the Incarnate Word School of Osteopathic Medicine (UIWSOM),,,,
,University of New England College of Osteopathic Medicine (UNECOM),,,,
,University of North Texas Health Science Center Texas College of Osteopathic Medicine (UNTHSC/TCOM),,,,
,University of Pikeville Kentucky College of Osteopathic Medicine (UP-KYCOM),,,,
,West Virginia School of Osteopathic Medicine (WVSOM),,,,
,Western University of Health Sciences College of Osteopathic Medicine of the Pacific (WesternU/COMP),,,,
,Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest (WesternU/COMP-Northwest),,,,
,William Carey University College of Osteopathic Medicine (WCUCOM),,,,
