Program Link,Program Name,Website,Name,ACGME Program Code,Program Director,PD Gender,Program Coordinator,PGY1,PGY2,PGY3,Region,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,II Rate,Interviews,Total Spots,Post II Odds,Spots/Apps,Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP)
/Program/GetById/233,Larkin Community Hospital Program,https://www.graduatemedicaleducation.org/,Larkin Community Hospital Program,801100143.0,Stanley Skopit,M,Lisandra Inastrilla,5.0,5.0,5.0,South Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,6,3,829.0,12.1,100,6.0,0.06,0.007237635706,0.08,0.08,0.13
/Program/GetById/238,Lehigh Valley Health Network Program,http://www.lvhn.org/research_and_education/residents/residency_programs/dermatology,Lehigh Valley Health Network Program,804100105.0,Cynthia Bartus,F,Michelle Brown,2.0,2.0,2.0,Middle Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,480.0,4.2,20,2.0,0.1,0.004166666667,–,–,–
/Program/GetById/257,Loma Linda University Health Education Consortium Program,http://www.llu.edu/llumc/residency/train.htm,Loma Linda University Health Education Consortium Program,800521111.0,Janiene Luke,F,Cindi Morrill,3.0,3.0,3.0,Pacific,University Hospital,Yes,No,–,–,# of Positions Filled:,3,3,534.0,5.6,30,3.0,0.1,0.005617977528,0.47,0.2,0
/Program/GetById/276,Los Angeles County-Harbor-UCLA Medical Center Program,http://www.harbor-ucla.org/dermatology/,Los Angeles County-Harbor-UCLA Medical Center Program,800512137.0,Delphine Lee,F,Paige Kobayashi,2.0,2.0,2.0,Pacific,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,539.0,5.6,30,2.0,0.06666666667,0.003710575139,–,–,–
/Program/GetById/278,Louisiana State University School of Medicine Program,http://www.medschool.lsuhsc.edu/dermatology/,Louisiana State University School of Medicine Program,802121109.0,Deborah Hilton,F,Sherilyn Munoz,6.0,4.0,6.0,West South Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,5,5,570.0,5.3,30,5.0,0.1666666667,0.008771929825,0.61,0.14,0
/Program/GetById/252,Loyola University Medical Center Program,http://www.stritch.luc.edu/medicine/residency-dermatology,Loyola University Medical Center Program,801612135.0,Eden Lake,F,Kathy Kania,3.0,4.0,3.0,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,659.0,5.5,36,4.0,0.1111111111,0.006069802731,0.59,0,0
/Program/GetById/199,Marshfield Clinic Program,http://www3.marshfieldclinic.org/residents/,Marshfield Clinic Program,805622131.0,Erik Stratman,M,Aimie Eckelberg,2.0,2.0,2.0,East North Central,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,403.0,7.4,30,2.0,0.06666666667,0.004962779156,–,–,–
/Program/GetById/173,Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp Program,http://www2.massgeneral.org/hmsdermatology/,Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp Program,802431043.0,Jennifer Huang,F,Diane Kovacev,8.0,8.0,10.0,New England,Affiliated Hospital,Yes,No,5,–,# of Positions Filled:,8,8,617.0,7.5,46,8.0,0.1739130435,0.01296596434,0.29,0.12,0
/Program/GetById/281,Mayo Clinic College of Medicine and Science (Jacksonville) Program,https://college.mayo.edu/academics/residencies-and-fellowships/dermatology-residency-florida/,Mayo Clinic College of Medicine and Science (Jacksonville) Program,801131125.0,Leila Tolaymat,F,Cindy Fairchild,2.0,2.0,2.0,South Atlantic,Other,Yes,No,–,2,2,–,# of Positions Filled:,579.0,4.5,26,2.0,0.07692307692,0.003454231434,0.3,0.1,0
/Program/GetById/294,Mayo Clinic College of Medicine and Science (Rochester) Program,https://college.mayo.edu/academics/residencies-and-fellowships/dermatology-residency-minnesota/,Mayo Clinic College of Medicine and Science (Rochester) Program,802621049.0,Carilyn Wieland,F,Julie Fohrman,8.0,8.0,8.0,West North Central,Other,Yes,No,–,2,2,6,6,666.0,10.4,69,8.0,0.115942029,0.01201201201,0.45,0.1,0
/Program/GetById/288,Mayo Clinic College of Medicine and Science (Scottsdale) Program,http://www.mayo.edu/msgme,Mayo Clinic College of Medicine and Science (Scottsdale) Program,800321127.0,David Swanson,M,Kristy Lux,2.0,2.0,2.0,Mountain,Other,Yes,No,–,2,2,–,# of Positions Filled:,590.0,4.2,25,2.0,0.08,0.003389830508,–,–,–
/Program/GetById/299,McGaw Medical Center of Northwestern University Program,http://www.feinberg.northwestern.edu/depts/dermatology/education/,McGaw Medical Center of Northwestern University Program,801621031.0,Maria Colavincenzo,F,Lisa Glatz,4.0,4.0,4.0,East North Central,University Hospital,Yes,No,5,–,# of Positions Filled:,6,6,689.0,10.9,75,6.0,0.08,0.008708272859,0.57,0.13,0
/Program/GetById/282,Medical College of Georgia Program,https://www.augusta.edu/mcg/dermatology/,Medical College of Georgia Program,801211029.0,Loretta Davis,F,Jennifer Foskey,3.0,3.0,3.0,South Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,3,3,527.0,7.2,38,3.0,0.07894736842,0.00569259962,0.4,0.07,0
/Program/GetById/300,Medical College of Wisconsin Affiliated Hospitals Program,http://www.mcw.edu/derm,Medical College of Wisconsin Affiliated Hospitals Program,805621095.0,Karolyn Wanat,F,Jennifer Pluer,5.0,5.0,5.0,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,628.0,8.6,54,5.0,0.09259259259,0.007961783439,0.35,0.12,0.04
/Program/GetById/305,Medical University of South Carolina Program,http://clinicaldepartments.musc.edu/dermatology,Medical University of South Carolina Program,804521099.0,Richard Marchell,M,Mark Lynch,4.0,5.0,5.0,South Atlantic,University Hospital,Yes,No,–,1,–,4,4,679.0,6.2,42,5.0,0.119047619,0.00736377025,0.83,0.17,0
/Program/GetById/214,MedStar Health/Washington Hospital Center Program,https://www.medstarhealth.org/education/affiliated-hospitals-2/medstar-washington-hospital-center/dermatology-residency/,MedStar Health/Washington Hospital Center Program,801021106.0,Min Deng,F,Naomi Simwenyi,2.0,3.0,1.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,620.0,6.5,40,3.0,0.075,0.004838709677,0.5,0.08,0
/Program/GetById/304,Montefiore Medical Center/Albert Einstein College of Medicine Program,http://www.aecom.yu.edu,Montefiore Medical Center/Albert Einstein College of Medicine Program,803531058.0,Ranon Mann,M,Karen Grant,6.0,7.0,6.0,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,652.0,9.2,60,7.0,0.1166666667,0.01073619632,0.34,0.13,0
/Program/GetById/279,National Capital Consortium Program,–,National Capital Consortium Program,801021123.0,Luke Bloomquist,M,Chaconia Agyenkwah,4.0,5.0,4.0,South Atlantic,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/262,Naval Medical Center (San Diego) Program,http://www-nmcsd.med.navy.mil/command/index.cfm,Naval Medical Center (San Diego) Program,800531006.0,Vikas Shrivastava,M,Neil Gibbs,3.0,2.0,2.0,Pacific,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/245,New York Medical College (Metropolitan) Program,http://www.nymc.edu/medical/medical.asp,New York Medical College (Metropolitan) Program,803521063.0,Marian Russo,F,Magali Cruz,4.0,3.0,3.0,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,580.0,9.7,56,2.0,0.03571428571,0.003448275862,0.1,0.2,0
/Program/GetById/223,New York Presbyterian Hospital (Columbia Campus) Program,http://www.dermatology.columbia.edu,New York Presbyterian Hospital (Columbia Campus) Program,803521104.0,Stephanie Gallitano,F,Christine Lauren,3.0,5.0,4.0,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,5,5,635.0,8,51,5.0,0.09803921569,0.007874015748,0.24,0.1,0
/Program/GetById/231,New York Presbyterian Hospital (Cornell Campus) Program,http://www.cornelldermatology.org/,New York Presbyterian Hospital (Cornell Campus) Program,803521062.0,Horatio Wildman,M,Mynaria Everett,5.0,4.0,4.0,Middle Atlantic,University Hospital,Yes,No,2,–,# of Positions Filled:,4,4,638.0,7.8,50,4.0,0.08,0.006269592476,0.57,0.19,0
/Program/GetById/253,NYU Grossman School of Medicine Program,http://www.med.nyu.edu/derm/index.html,NYU Grossman School of Medicine Program,803521064.0,Alexandra Flamm,F,Norma Elliott,8.0,8.0,9.0,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,8,8,636.0,8.6,55,8.0,0.1454545455,0.01257861635,0.45,0.21,0
/Program/GetById/248,Ohio State University Hospital Program,https://medicine.osu.edu/departments/dermatology/education/residency,Ohio State University Hospital Program,803811072.0,Joy Mosser-Goldfarb,F,crisanne Hitler,0.0,4.0,3.0,East North Central,University Hospital,Yes,No,–,2,2,2,2,678.0,4.9,33,4.0,0.1212121212,0.005899705015,0.41,0.06,0
/Program/GetById/237,OhioHealth/Riverside Methodist Hospital Program,http://www.ohiohealth.com/education/medical-education-program/residencies-and-fellowships/dermatology-obleness-hospital/,OhioHealth/Riverside Methodist Hospital Program,803800144.0,Dawn Sammons,F,Rachel Roberts,2.0,2.0,2.0,East North Central,Affiliated Hospital,Yes,No,–,2,2,–,# of Positions Filled:,430.0,4.9,21,2.0,0.09523809524,0.004651162791,0.25,0.17,0.25
/Program/GetById/295,Oregon Health & Science University Program,http://www.ohsu.edu/dermatology,Oregon Health & Science University Program,804021075.0,Nicole Fett,F,Sarah Wilkinson,5.0,5.0,5.0,Pacific,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,675.0,7.1,48,5.0,0.1041666667,0.007407407407,0.44,0.16,0.08
/Program/GetById/170,Penn State Milton S Hershey Medical Center Program,https://residency.med.psu.edu/programs/dermatology-residency/,Penn State Milton S Hershey Medical Center Program,804121103.0,Brian Green,M,Kelly Friedman,7.0,1.0,4.0,Middle Atlantic,University Hospital,Yes,No,1,–,# of Positions Filled:,4,4,656.0,5.3,35,4.0,0.1142857143,0.006097560976,0.3,0.15,0.1
/Program/GetById/206,Philadelphia College of Osteopathic Medicine Program,http://www.dermatologynfhmc.wix.com/gaderm,Philadelphia College of Osteopathic Medicine Program,801200030.0,Marcus Goodman,M,sandy Ingram,2.0,2.0,2.0,South Atlantic,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,2,2,382.0,13.1,50,2.0,0.04,0.005235602094,–,–,–
/Program/GetById/186,Ponce Health Sciences University Program,http://www.phsu.edu,Ponce Health Sciences University Program,804200001.0,Nestor Sanchez Colon,M,Yeroika Echevarría,0.0,0.0,0.0,South Atlantic,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/235,Prime West Consortium/Newport Beach Program,https://westernderm.com,Prime West Consortium/Newport Beach Program,800500145.0,Navid Nami,M,Kristina Garcia,1.0,1.0,1.0,Pacific,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,1,1,133.0,9,12,1.0,0.08333333333,0.007518796992,–,–,–
/Program/GetById/239,Rush University Medical Center Program,https://www.rushu.rush.edu/rush-medical-college/departments/department-dermatology,Rush University Medical Center Program,801611032.0,David Reid,M,Lynn Thompson,3.0,2.0,2.0,East North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,663.0,5.3,35,2.0,0.05714285714,0.003016591252,0.4,0.1,0
/Program/GetById/171,Rutgers Health/Robert Wood Johnson Medical School Program,http://rwjms.rutgers.edu/departments_institutes/dermatology/residency/index.html,Rutgers Health/Robert Wood Johnson Medical School Program,803331128.0,Cindy Wassef,F,Aida Cardona,2.0,2.0,2.0,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,2,2,614.0,0,0,2.0,#DIV/0!,0.00325732899,0.1,0,0
/Program/GetById/184,Samaritan Health Services - Corvallis Program,http://www.silverfallsderm.net,Samaritan Health Services - Corvallis Program,804000076.0,Jacques Casparian,M,Zoia Martushev,2.0,3.0,2.0,Pacific,Community Hospital,Yes,No,–,–,# of Positions Filled:,2,2,409.0,4.9,20,2.0,0.1,0.00488997555,–,–,–
/Program/GetById/285,San Antonio Uniformed Services Health Education Consortium Program,https://bamc.tricare.mil/About-Us/SAUSHEC/Residency-Information/Dermatology,San Antonio Uniformed Services Health Education Consortium Program,804821121.0,Christopher Edens,M,Teresa Fite,6.0,4.0,6.0,West South Central,Not Available,–,No,–,–,# of Positions Filled:,–,# of Positions Filled:,0.0,–,#VALUE!,,#VALUE!,#DIV/0!,–,–,–
/Program/GetById/301,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,http://www.jefferson.edu/university/skmc/departments/dermatology.html,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,804111079.0,Matthew Keller,M,Doreen Barel,4.0,6.0,4.0,Middle Atlantic,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,665.0,4.8,32,4.0,0.125,0.006015037594,0.32,0.18,0
/Program/GetById/189,Southern Illinois University Program,https://www.siumed.edu/im/dermatology,Southern Illinois University Program,801621118.0,Adam Berry,M,Pamela Larson,3.0,3.0,3.0,East North Central,University Hospital,Yes,No,–,3,3,–,# of Positions Filled:,506.0,7.9,40,3.0,0.075,0.005928853755,0.4,0.07,0
/Program/GetById/269,St Barnabas Hospital Program,http://www.sbhny.org/healthcare-professionals/residency-programs/dermatology-residency-program/,St Barnabas Hospital Program,803500129.0,Cindy Hoffman,F,Tiffany Morris,1.0,1.0,1.0,Middle Atlantic,Community Hospital,Yes,Yes,–,–,# of Positions Filled:,1,1,308.0,0,0,1.0,#DIV/0!,0.003246753247,–,–,–
/Program/GetById/255,St John's Episcopal Hospital-South Shore Program,–,St John's Episcopal Hospital-South Shore Program,803500128.0,Suzanne Sirota Rozenberg,F,Amber Johnson,3.0,3.0,3.0,Middle Atlantic,Community Hospital,Yes,No,–,–,# of Positions Filled:,–,# of Positions Filled:,48.0,52.1,25,,0,0,–,–,–
/Program/GetById/201,St Louis University School of Medicine Program,https://www.slu.edu/medicine/dermatology/,St Louis University School of Medicine Program,802821116.0,Nicole Burkemper,F,Joey Weissmann,4.0,4.0,4.0,West North Central,University Hospital,Yes,No,–,–,# of Positions Filled:,6,5,616.0,6.5,40,6.0,0.15,0.00974025974,0.38,0.05,0.05
